,name,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
86,You Said You'd Grow Old With Me,Michael Schulte,0.905,0.531,0.347,0.0,0.0935,-7.044,0.0345,0.289
87,Malibu Nights,LANY,0.701,0.559,0.422,1.99e-06,0.0853,-11.89,0.195,0.191
88,Lost Without You,Freya Ridings,0.932,0.386,0.136,0.0,0.0653,-9.267,0.0458,0.0976
89,Break My Heart Again,FINNEAS,0.907,0.402,0.151,0.0,0.0941,-14.227,0.0395,0.483
90,Already Gone,Sleeping At Last,0.954,0.418,0.248,4.21e-06,0.108,-9.997,0.0451,0.298
91,Champion,Elina,0.921,0.65,0.171,0.0,0.127,-9.005,0.0519,0.284
92,A Song About Being Sad,Rex Orange County,0.891,0.567,0.263,0.0,0.183,-13.51,0.103,0.247
93,Memories,Maroon 5,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575
94,If the World Was Ending (feat. Julia Michaels),JP Saxe,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,0.604
95,Safe & Sound - from The Hunger Games Soundtrack,Various Artists,0.883,0.471,0.3,1.05e-05,0.0698,-10.807,0.028,0.289
96,Demons,Alec Benjamin,0.703,0.708,0.495,0.000115,0.34,-7.496,0.0364,0.761
97,Jar of Hearts,Christina Perri,0.726,0.349,0.348,0.0,0.12,-6.142,0.0316,0.0886
98,arms,Christina Perri,0.11,0.463,0.755,4.89e-06,0.103,-7.244,0.0634,0.252
99,Please Notice,Christian Leave,0.843,0.55,0.271,3.21e-06,0.107,-8.451,0.0297,0.198
