,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,Modern Loneliness,~how i'm feeling~,Lauv,2020-02-20,252337,0,0.144,0.702,0.508,0.0,0.108,-7.105,0.035,0.143,82.008,4
1,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)","Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,2020-08-13,156187,0,0.686,0.702,0.616,0.0,0.145,-4.903,0.326,0.507,80.482,4
2,It's Not All About You,It's Not All About You,Lawrence,2019-11-19,151320,47,0.177,0.717,0.795,0.0,0.261,-2.469,0.0825,0.792,104.005,4
3,Welcome to Wonderland,Welcome to Wonderland,Anson Seabra,2018-04-20,199131,77,0.949,0.703,0.179,0.0,0.102,-10.906,0.0366,0.346,97.427,3
4,Just Friends,Just Friends,Audrey Mika,2020-05-08,168982,62,0.0879,0.868,0.656,0.00316,0.14,-6.579,0.0351,0.793,114.991,4
5,Never in My Wildest Dreams,Waiting on a Song,Dan Auerbach,2017-06-02,176026,66,0.315,0.559,0.466,0.0039,0.0933,-6.769,0.0362,0.623,117.21,4
6,Working For The Weekend (feat. bbno$),Working For The Weekend (feat. bbno$),MAX,2020-09-04,165986,52,0.223,0.858,0.568,0.0,0.122,-5.623,0.217,0.757,101.02,4
7,Anyone Else,Anyone Else,Joshua Bassett,2020-07-16,200473,59,0.499,0.633,0.308,0.0,0.0937,-9.009,0.0436,0.824,164.685,3
8,Lighters,Hell: The Sequel (Deluxe),Bad Meets Evil,2011-01-01,303813,71,0.352,0.676,0.695,0.0,0.119,-8.327,0.245,0.144,90.268,4
9,Postcard (feat. Gordi),Bloom,Troye Sivan,2018-08-31,216605,54,0.905,0.43,0.36,0.0,0.0967,-8.909,0.036,0.247,97.852,4
10,False Confidence,Busyhead,Noah Kahan,2019-06-14,223400,70,0.163,0.414,0.663,0.0,0.138,-7.77,0.0456,0.33,108.98,4
11,Hurt Somebody,Busyhead,Noah Kahan,2019-06-14,167106,67,0.344,0.638,0.51,0.0,0.212,-6.485,0.305,0.448,114.576,4
