,name,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
59,Let Your Heart Hold Fast,Fort Atlantic,0.151,0.471,0.462,0.000251,0.153,-7.579,0.0281,0.469
60,Love Me Now,John Legend,0.572,0.416,0.773,0.0,0.105,-3.784,0.0949,0.716
61,Am I Wrong,Nico & Vinz,0.175,0.729,0.675,1.58e-06,0.55,-6.003,0.0312,0.779
62,In Your Arms,Nico & Vinz,0.299,0.431,0.81,0.0,0.249,-6.051,0.0958,0.674
63,Stay (feat. Maty Noyes),Kygo,0.0444,0.648,0.736,0.000137,0.171,-7.948,0.0385,0.378
64,Stole the Show,Kygo,0.271,0.64,0.635,0.0,0.319,-7.565,0.226,0.475
65,For the First Time,The Script,0.0328,0.396,0.629,0.0,0.183,-4.78,0.0287,0.358
66,The Man Who Can't Be Moved,The Script,0.423,0.608,0.629,0.0,0.0978,-5.024,0.0264,0.325
67,Superheroes,The Script,0.00218,0.49,0.885,0.0,0.0741,-4.121,0.0396,0.64
68,Riptide,Vance Joy,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,0.51
69,Wasn't Expecting That,Jamie Lawson,0.424,0.591,0.415,0.000299,0.111,-6.936,0.0437,0.197
70,Lost Stars,Maroon 5,0.102,0.494,0.582,0.0,0.0805,-4.769,0.0266,0.416
71,Whiskey (feat. A$AP Rocky),Maroon 5,0.748,0.53,0.406,0.0,0.105,-8.272,0.0696,0.0665
72,Heavy (feat. Kiiara),Linkin Park,0.0484,0.59,0.671,0.0,0.0604,-6.098,0.0706,0.438
73,Sad Song (feat. Elena Coats),We The Kings,0.0843,0.512,0.559,0.0,0.0696,-5.498,0.0253,0.193
74,Falling in Love at a Coffee Shop,Landon Pigg,0.2,0.489,0.561,4.56e-05,0.179,-7.933,0.0274,0.238
75,Everybody Talks,Neon Trees,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,0.725
76,The Lost Boy (feat. Skizzy Mars),Lostboycrow,0.378,0.721,0.567,0.0,0.349,-6.733,0.0412,0.23
77,With You (feat. Wrabel),Kygo,0.424,0.618,0.805,0.00796,0.332,-4.731,0.0463,0.335
78,Stargazing,Kygo,0.152,0.677,0.497,0.0,0.0911,-5.763,0.0809,0.419
79,Sunrise (feat. Jason Walker),Kygo,0.211,0.636,0.6,0.0,0.141,-6.964,0.0288,0.476
80,Stranger Things (feat. OneRepublic),Kygo,0.234,0.604,0.661,0.0,0.0951,-5.914,0.0375,0.506
81,Raging (feat. Kodaline),Kygo,0.0498,0.55,0.689,0.0,0.207,-7.76,0.094,0.408
82,Firestone,Kygo,0.393,0.704,0.634,3.17e-05,0.0952,-7.374,0.0428,0.411
83,Carry Me (feat. Julia Michaels),Kygo,0.486,0.621,0.551,0.0,0.115,-7.89,0.0474,0.222
84,Fragile,Kygo,0.177,0.47,0.422,0.000216,0.0879,-7.474,0.0522,0.218
85,11 Blocks,Wrabel,0.0216,0.553,0.711,0.0,0.142,-4.275,0.0378,0.293
86,Ten Feet Tall,Afrojack,0.0336,0.523,0.861,0.0,0.144,-3.447,0.0644,0.346
87,Little Do You Know,Alex & Sierra,0.746,0.5,0.292,0.0,0.188,-8.554,0.0323,0.37
88,All About Us,He Is We,0.168,0.44,0.547,0.0,0.117,-5.26,0.027,0.365
89,Everywhere I Go,Sleeping At Last,0.953,0.259,0.116,4.41e-06,0.0861,-12.689,0.0388,0.178
90,Love Bug (Tribute to The Jonas Brothers),Caitlin Hart,0.0321,0.635,0.376,1.76e-06,0.312,-10.106,0.0324,0.194
91,Somewhere Only We Know,Keane,0.0794,0.453,0.655,7.61e-06,0.0849,-4.22,0.0259,0.368
92,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,0.228,0.558,0.522,0.0,0.104,-5.857,0.036,0.228
93,Life Of The Party,Shawn Mendes,0.0663,0.666,0.615,0.0,0.111,-4.995,0.0314,0.161
94,Cooler Than Me - Single Mix,Mike Posner,0.179,0.768,0.82,0.0,0.689,-4.63,0.0474,0.625
95,Can't Help Falling in Love,Haley Reinhart,0.947,0.41,0.0485,0.0,0.108,-13.918,0.038,0.247
96,Reason To Hate You,Rhys Lewis,0.91,0.57,0.214,0.0,0.146,-9.735,0.141,0.308
97,dear insecurity (feat. ben abraham),Garrett Nash,0.519,0.688,0.348,0.0,0.341,-8.227,0.149,0.58
98,idfc,blackbear,0.611,0.63,0.5,4.04e-05,0.114,-8.755,0.0611,0.315
99,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,0.687,0.492,0.275,0.0,0.101,-13.4,0.3,0.18
